Drug_ID,Protein_ID
DB14543,1584
DB14544,1584
DB14545,1584
DB14649,1584
DB13749,476
DB11256,4548
DB00163,3162
DB09221,3162
DB14001,3162
DB14002,3162
DB00145,1738
DB01039,231
DB11859,231
DB06778,5053
DB00993,3614
DB00122,1119
DB14006,1119
DB00316,2944
DB00515,2944
DB00526,2944
DB00958,2944
DB00993,2944
DB01008,2944
DB01020,2944
DB11672,2944
DB00163,2947
DB14001,2947
DB14002,2947
DB00163,2950
DB00291,2950
DB00316,2950
DB00515,2950
DB00526,2950
DB00773,2950
DB00958,2950
DB01008,2950
DB11672,2950
DB14001,2950
DB14002,2950
DB00163,9446
DB14001,9446
DB14002,9446
DB09221,2876
DB11091,2876
DB11127,2876
DB11590,2876
DB00130,2744
DB09374,2744
DB13155,2744
DB14840,5156
DB13928,1803
DB09571,5409
DB01110,1595
DB00675,6822
DB01708,6822
DB05812,6822
DB09073,6822
DB09288,6822
DB09322,251
DB09498,251
DB11091,251
DB09338,5105
DB09221,25824
DB00316,6817
DB00675,6817
DB00714,6817
DB09070,6817
DB09288,6817
DB01395,5444
DB14596,5444
DB14598,5444
DB14600,5444
DB00675,6783
DB00714,6783
DB00977,6783
DB09288,6783
DB14635,6783
DB00544,1806
DB01101,1806
DB09327,1806
DB09340,2990
DB11793,2990
DB00436,7172
DB00993,7172
DB01021,7172
DB01033,7172
DB01327,7172
DB00451,5243
DB05239,5243
DB00130,7052
DB01914,2645
DB05016,9356
DB13749,5207
DB00006,4353
DB00104,4353
DB00208,4353
DB00233,4353
DB00250,4353
DB00461,4353
DB00500,4353
DB00515,4353
DB00526,4353
DB00550,4353
DB00833,4353
DB00847,4353
DB00958,4353
DB01065,4353
DB02300,4353
DB04827,4353
DB06468,4353
DB06774,4353
DB06823,4353
DB00987,4907
DB01914,3098
DB09502,3098
DB00121,1545
DB00201,1545
DB00277,1545
DB00338,1545
DB00396,1545
DB00443,1545
DB00448,1545
DB00499,1545
DB00530,1545
DB00613,1545
DB00624,1545
DB00635,1545
DB00655,1545
DB00675,1545
DB00694,1545
DB00741,1545
DB00783,1545
DB00818,1545
DB00959,1545
DB00997,1545
DB01026,1545
DB01065,1545
DB01087,1545
DB01204,1545
DB01222,1545
DB01229,1545
DB01248,1545
DB01254,1545
DB02709,1545
DB11155,1545
DB12245,1545
DB13946,1545
DB13952,1545
DB13953,1545
DB13954,1545
DB13955,1545
DB13956,1545
DB14631,1545
DB14487,1363
DB14533,1363
DB13257,1356
DB01598,1800
DB06211,1800
DB09130,283
DB14487,3416
DB14533,3416
DB00163,1728
DB00252,1728
DB00515,1728
DB00526,1728
DB00958,1728
DB00997,1728
DB14001,1728
DB14002,1728
DB09061,1429
DB06713,412
DB09070,412
DB00642,2030
DB09116,847
DB11091,847
DB00563,471
DB09459,27087
DB09374,3417
DB00432,7083
DB00495,7083
DB09299,203
DB14126,203
DB01708,6820
DB00130,7053
DB08934,3094
DB12831,716
DB00586,5320
DB13928,278
DB12831,5644
DB00126,7296
DB11127,7296
DB11135,7296
DB00252,1312
DB00255,1312
DB00494,1312
DB00668,1312
DB00714,1312
DB00783,1312
DB00841,1312
DB00968,1312
DB00977,1312
DB00988,1312
DB01141,1312
DB01420,1312
DB06152,1312
DB15488,1312
DB00197,1588
DB00255,1588
DB00269,1588
DB00333,1588
DB00358,1588
DB00389,1588
DB00443,1588
DB00481,1588
DB00624,1588
DB00675,1588
DB00856,1588
DB00858,1588
DB00926,1588
DB00974,1588
DB00990,1588
DB01006,1588
DB01007,1588
DB01026,1588
DB01065,1588
DB01110,1588
DB01127,1588
DB01229,1588
DB01406,1588
DB02901,1588
DB04794,1588
DB04839,1588
DB05804,1588
DB05875,1588
DB06147,1588
DB06710,1588
DB06719,1588
DB08804,1588
DB09389,1588
DB13943,1588
DB13944,1588
DB13946,1588
DB14598,1588
DB14600,1588
DB12831,715
DB00150,1644
DB00260,1644
DB00875,1644
DB00915,1644
DB01235,1644
DB06262,1644
DB13848,1644
DB00134,4524
DB00140,4524
DB00158,4524
DB00170,4524
DB00542,4524
DB00544,4524
DB00563,4524
DB00134,27430
DB00178,590
DB00183,590
DB00202,590
DB00358,590
DB00391,590
DB00392,590
DB00477,590
DB00508,590
DB00515,590
DB00527,590
DB00585,590
DB00620,590
DB00677,590
DB00711,590
DB00721,590
DB00762,590
DB00790,590
DB00856,590
DB00868,590
DB00871,590
DB00888,590
DB00892,590
DB00907,590
DB00979,590
DB01035,590
DB01116,590
DB01122,590
DB01135,590
DB01161,590
DB01199,590
DB01245,590
DB01337,590
DB01338,590
DB01364,590
DB01400,590
DB01408,590
DB02845,590
DB03568,590
DB03822,590
DB03976,590
DB04250,590
DB04572,590
DB04920,590
DB05875,590
DB06756,590
DB06774,590
DB08893,590
DB08897,590
DB09205,590
DB09288,590
DB11148,590
DB14031,590
DB09031,5337
DB00143,2939
DB00163,2939
DB00636,2939
DB00903,2939
DB00993,2939
DB01008,2939
DB14001,2939
DB14002,2939
DB00122,10390
DB14006,10390
DB00322,1890
DB00369,1890
DB00432,1890
DB00544,1890
DB01101,1890
DB06433,1890
DB00316,2166
DB00818,2166
DB09061,2166
DB00139,8985
DB00184,4129
DB00388,4129
DB00601,4129
DB00614,4129
DB00780,4129
DB00915,4129
DB00988,4129
DB01104,4129
DB01171,4129
DB02095,4129
DB02211,4129
DB02509,4129
DB03147,4129
DB03894,4129
DB04147,4129
DB04307,4129
DB04818,4129
DB04889,4129
DB08804,4129
DB09042,4129
DB12612,4129
DB14569,4129
DB00140,4128
DB00184,4128
DB00315,4128
DB00388,4128
DB00397,4128
DB00571,4128
DB00601,4128
DB00614,4128
DB00624,4128
DB00669,4128
DB00780,4128
DB00852,4128
DB00918,4128
DB00952,4128
DB00953,4128
DB00988,4128
DB01104,4128
DB01171,4128
DB01445,4128
DB04818,4128
DB04889,4128
DB06412,4128
DB06654,4128
DB06774,4128
DB08804,4128
DB09042,4128
DB09244,4128
DB09245,4128
DB12329,4128
DB13943,4128
DB13944,4128
DB13946,4128
DB14569,4128
DB15328,4128
DB09130,5066
DB00139,64175
DB00127,7498
DB00157,7498
DB00170,7498
DB00336,7498
DB00339,7498
DB00437,7498
DB00515,7498
DB00694,7498
DB00746,7498
DB00831,7498
DB00856,7498
DB00958,7498
DB00993,7498
DB00997,7498
DB01020,7498
DB01033,7498
DB01136,7498
DB01168,7498
DB04335,7498
DB06478,7498
DB12466,7498
DB00139,55214
DB00139,10536
DB00194,100
DB00277,100
DB00640,100
DB00974,100
DB01280,100
DB05057,100
DB14598,100
DB14600,100
DB00128,790
DB00130,790
DB00130,5198
DB00130,9333
DB00130,5188
DB00130,9945
DB00130,343641
DB01956,343641
DB00134,2752
DB00466,2752
DB01119,2752
DB01212,2752
DB06774,2752
DB08794,2752
DB00130,7051
DB00130,5859
DB00130,7047
DB00130,55191
DB00130,116179
DB00134,92935
DB00134,23743
DB00136,1591
DB00146,1591
DB00153,1591
DB00910,1591
DB02300,1591
DB00139,5019
DB00139,6391
DB09326,162417
DB00143,2938
DB00993,2938
DB01008,2938
DB02486,2938
DB02943,2938
DB03602,2938
DB04132,2938
DB11672,2938
DB01008,4258
DB00145,2653
DB01956,570
DB00150,10352
DB00172,5625
DB06756,5625
DB00577,2987
DB00787,2987
DB00091,1577
DB00196,1577
DB00197,1577
DB00199,1577
DB00203,1577
DB00206,1577
DB00220,1577
DB00224,1577
DB00238,1577
DB00250,1577
DB00252,1577
DB00253,1577
DB00278,1577
DB00281,1577
DB00288,1577
DB00313,1577
DB00317,1577
DB00321,1577
DB00324,1577
DB00342,1577
DB00343,1577
DB00367,1577
DB00381,1577
DB00394,1577
DB00396,1577
DB00398,1577
DB00401,1577
DB00404,1577
DB00439,1577
DB00443,1577
DB00444,1577
DB00446,1577
DB00455,1577
DB00468,1577
DB00472,1577
DB00490,1577
DB00497,1577
DB00499,1577
DB00501,1577
DB00502,1577
DB00503,1577
DB00528,1577
DB00530,1577
DB00531,1577
DB00537,1577
DB00540,1577
DB00541,1577
DB00557,1577
DB00564,1577
DB00571,1577
DB00574,1577
DB00575,1577
DB00582,1577
DB00588,1577
DB00604,1577
DB00608,1577
DB00619,1577
DB00620,1577
DB00622,1577
DB00624,1577
DB00625,1577
DB00635,1577
DB00637,1577
DB00641,1577
DB00655,1577
DB00656,1577
DB00661,1577
DB00675,1577
DB00683,1577
DB00688,1577
DB00694,1577
DB00700,1577
DB00701,1577
DB00705,1577
DB00714,1577
DB00731,1577
DB00738,1577
DB00741,1577
DB00745,1577
DB00755,1577
DB00758,1577
DB00762,1577
DB00764,1577
DB00773,1577
DB00776,1577
DB00780,1577
DB00783,1577
DB00802,1577
DB00820,1577
DB00822,1577
DB00829,1577
DB00834,1577
DB00845,1577
DB00862,1577
DB00864,1577
DB00877,1577
DB00896,1577
DB00897,1577
DB00904,1577
DB00905,1577
DB00909,1577
DB00916,1577
DB00921,1577
DB00938,1577
DB00962,1577
DB00972,1577
DB00977,1577
DB01013,1577
DB01016,1577
DB01023,1577
DB01026,1577
DB01041,1577
DB01045,1577
DB01047,1577
DB01054,1577
DB01058,1577
DB01062,1577
DB01076,1577
DB01095,1577
DB01100,1577
DB01103,1577
DB01114,1577
